용어,설명
근저당,"계속적인 거래관계로부터 발생하는 다수의 불특정 채권을 장래의 결산기에서 일정한 한도까지 담보하려는 저당권을 말한다. 근저당 설정은 은행 등 금융기간이 주로 행하며 융자 희망자가 담보융자 신청을 하면 은행은 담보물 감정을 하고 융자 여부를 결정한 다음 근저당을 설정하고 융자를 해준다. 근저당의 설정은 물권적 합의와 등기에 의하며, 등기할 때는 담보할 채권최고액을 반드시 등기해야 한다. 채권최고액은 융자희망자가 최대한도로 융자 받을 수 있는 금액을 말한다. 예를 들면 융자 희망자가 시가 1억원의 주택을 은행에 담보로 제공하면 은행은 그 주택의 위치, 주택연한, 도시계획 등을 검토하여 감정가를 정하는데 대개는 담보물 시가의 70~80% 선이다. 여기서 산출된 감정가에서 20~30%는 이자, 경매대금 등으로 감소되는데 최종 남은 액수가 채권최고액이 된다. 당사자간의 약정에 의하여 한도액의 범위 내에서는 담보액의 변동이 가능하다."
글로벌 소싱 (global sourcing),"기업의 구매활동 범위를 범세계적으로 확대하여, 외부조달 비용의 절감을 시도하는 구매전략을 말한다. 포스트 리엔지니어링(post reengineering) 활동의 일환으로서 매우 유용한 비용절감 수단이다. 해외 건설공사를 수주한 업체가 공사의 모든 공정을 혼자 도맡아 하지 않고, 각각의 공정별로 다른 업체에 하도급을 주어 공사를 추진하는 방식이 대표적인 예이다. 이러한 시공방법은 현장관리를 위하여 투입되는 인건비와 차량을 비롯한 장비투입 경비 등이 감소될 뿐만 아니라, 부가가치도 높여 주는 건설관리사업(CM) 분야의 일종으로서 여러 기업들에서 많이 채택되고 있다. 1997년 3월부터 폴란드 바르샤바에 짓기 시작한 대우 비즈니스 센터 공사에 이 방식이 도입되었는데, 시공은 영국의 보이스, 설계는 미국의 RTKL, 설비관리는 대우그룹 계열인 동우공영 폴란드 법인, 분양과 마케팅은 영국의 할리 & 바커와 조운즈 랭 우든, 호텔 운영은 미국의 힐튼호텔이 각각 맡았다. "
금리,"우리들이 일상생활을 하다보면 남는 돈을 은행에 예금하거나 다른 사람에게 빌려줄 때도 있지만 돈이 부족하여 빌려야 하는 경우도 있다. 돈을 빌린 사람은 일정기간 돈을 빌려 쓴 것에 대한 대가를 지급하는데 이를 이자라 하며, 이자의 원금에 대한 비율을 금리 또는 이자율이라고 한다. 한마디로 금리란 돈의 가격이다.

이자는 은행에 예금하는 경우에도 생긴다. 이것을 반대로 보면 은행이 예금하는 사람의 돈을 빌려 쓴 대가를 예금주에게 지급하는 것이라고 말할 수 있다. 예를 들어 은행에 10만원을 예금하고 1년 뒤에 11만원을 받는다고 한다면, 돈을 예금한 대가로 받는 1만원이 이자이다. 이 경우 예금 금리는 이자 1만원의 원금 10만원에 대한 비율, 즉 10%이다. 이러한 이자율은 현재의 소비를 희생한 대가로 이해할 수 있다.  즉 10만원을 예금하지 않으면 누릴 수 있는 영화관람, 외식, 옷 구입 등 현재 소비의 만족을 포기한 대가 또는 보상이라고 할 수 있다.

돈을 빌렸을 때의 예를 보자. 처음 빌린 돈(원금)에 대해 이자를 얼마나 내는지를 나타내는 것이 금리인데, 예를 들어 100만원을 빌려주고 이자를 10만원 받는다면 금리는 이자(10만원)를 원금(100만원)으로 나누고 100으로 곱하여(10만원÷100만원×100) 10%가 된다.

금리가 높다는 건 돈을 빌려 쓴 뒤 이자를 많이 내야 한다는 것을 의미한다. 따라서 금리가 올라가면 예전보다 이자를 많이 내야 하므로 사람들이 돈을 더 적게 빌려가게 되어 사람들의 씀씀이도 줄고 기업의 투자도 줄어든다. 반대로 금리가 내려가면 예전보다 이자를 적게 내므로 사람들이 돈을 더 많이 빌려가게 된다. 따라서 사람들의 씀씀이도 전보다 훨씬 커지고 기업의 투자도 늘어나게 된다. 이처럼 금리가 오르거나 내려가면 경제에 여러 가지 영향을 미치게 된다.

금리에는 예금금리와 대출금리가 있다. 예금금리는 은행과 같은 금융기관에 돈을 맡길 때 맡기는 사람이 금융기관으로부터 받는 이자의 비율이고, 대출금리는 금융기관으로부터 돈을 빌릴 때 빌려 쓰는 사람이 금융기관에 내야 하는 이자의 비율이다. 은행은 예금금리보다 대출금리를 높게 매겨 그 차이에서 수익을 올리게 된다.

금리가 어떻게 결정되는가에 대해서는 여러 가지 이론이 있으나 금리는 기본적으로 자금의 수요와 공급에 의해 결정된다고 할 수 있다. 시장에서 상품을 사고자 하는 수요와 팔고자 하는 공급이 변동함에 따라 상품가격이 달라지는 것과 마찬가지로 돈의 가격인 금리도 돈을 빌리려는 수요가 돈을 빌려주려는 공급보다 많으면 올라가게 되고 반대로 공급이 수요보다 많으면 떨어지게 된다."
"금리위험 (金利危險, interest rate risk)","금리의 변동에 따라 발생하는 위험으로 금리리스크라고도 한다. 예를 들어 A은행이 1년 고정금리대출을 12%에 제공하였는데, 3개월 유로예금으로 이에 대처하였다면, 3개월 후에는 다른 유로예금으로 대출자원을 조성하여야 하는데, 현재 금리가 상승추세에 있다고 가정하면, 최초 3개월 유로예금은 10%에 조성하여 이를 12%에 대출함으로써 2%의 이익을 취득하였으나, 두 번째 3개월 유로예금은 금리가 상승하여 13%에 조성할 수 밖에 없었다면, 이 경우에는 이익이 발생하지 않고 오히려 1%의 손실이 발생할 것이다. 이와 같이 금리변동에 따른 위험을 금리리스크라 한다. 특히 이와 같은 위험을 사전적(ex ante)으로 파악한 개념을 금리 익스포주어(interest rate exposure)라고 한다. "
금융,금융이란 이자를 받고 자금을 융통하여 주는 것을 말한다. 영어로는 finance라고 하는데 일정기간을 정하여 앞으로 있을 원금의 상환과 이자지급에 대해 상대방을 신용하고 자금을 이전하는 것을 말한다. 돈이 필요한 경우 친척이나 친구처럼 가까운 사람들로부터 빌리는 경우도 있지만 대부분의 경우에는 금융기관을 이용하게 된다. 금융기관은 여유돈이 있는 사람들로부터 예금을 받아 그것을 필요한 사람에게 빌려주는 중개자 역할을 한다. 금융기관 중 대표적인 것이 은행이다
금융 법인기업부문,금융 법인기업부문은 금융중개 활동이나 보조적 금융활동을 주활동으로 하는 모든 거주자 법인기업 또는 준법인기업으로 구성됨
금융감독위원회 (FSC: Financial Supervisory Commission),"건전한 신용질서와 공정한 금융거래 관행을 확보하고 예금자 및 투자자 등 금융수요자를 보호함으로써 국민경제의 발전에 기여할 것을 목적으로 금융감독기구 설치 등에 관한 법률에 의하여 1998년 4월에 설립되었다. 특별법에 의해 행정권을 부여받아 금융감독에 관련된 규정의 개정, 금융기관에 대한 검사와 제재, 증권/선물시장의 감시기능 등 금융기관 감독에 대한 중요한 역할을 한다. 금융감독위원회는 금융감독관련 주요 사항을 심의/의결하고 금융감독원에 대한 지시/감독, 금융산업 및 기업의 구조조정을 추진한다. 금융감독위원회의 위원은 위원장, 부위원장과 상임위원, 재경부 차관, 한국은행 부총재, 예금보험공사 사장, 재정경제부 장관이 추천하는 회계전문가, 법무부장관이 추천하는 법률전문가, 대한상공회의소 회장이 추천하는 경제계 대표1인 총9명으로 구성되어 있다. "
금융거래,"금융자산의 소유권 이전, 즉 금융채권의 창출 및 청산을 수반하는 모든 거래로서 경제주체의 금융자산 취득과 처분, 그리고 금융부채 조달과 상환을 말함"
금융거래표,"금융거래표는 자금순환통계상의 플로 통계에 해당하며, 기간 중 발생한 금융거래의 내용을 제도부문별, 금융상품별로 기록한 표이다. 일반적으로 자금순환통계상의 금융거래표는 어느 거래까지를 표에 나타낼 것인가에 따라 그 포괄범위가 달라지게 되는데, 우리나라의 경우 매분기와 연초에 잠정추계하여 발표하고 있는 자금순환통계상의 금융거래표는 속보성을 고려하여 금융거래만을 포함시키고 있으나 연간확정표로서 발표하고 있는 저축?투자 및 금융거래표는 자본거래와 금융거래를 모두 포괄하고 있다. 금융상품별 구성은 금융자산부채잔액표와 동일하며, 제도부문별 금융자산구입을 통한 자금의 공급은 운용란에, 금융부채 발행 등을 통한 자금의 조달은 원천란에 각각 기록된다"
금융계정,"금융계정은 각 경제주체들이 자금을 외국으로부터 빌리거나 외국에 빌려줌으로써 발생하는 외화의 유출입 차이를 나타낸다. 즉, 정부, 민간기업, 금융기관 등이 외국으로부터 차입 등의 방식으로 돈을 빌리거나 이와는 반대로 외국에 신용공여 등의 방식으로 돈을 빌려줌으로써 발생하는 외화의 유출입차를 나타낸다.

이러한 금융계정은 거주자가 외국기업에 대해 혹은 비거주자가 국내기업에 대해 경영참여 등을 목적으로 하는 직접투자, 주식과 채권 거래를 나타내는 증권투자, 파생금융상품 거래를 계상하는 파생금융상품, 기타투자 및 준비자산으로 구성된다. "
"금융국제화 (金融國際化, internationalization of banking)","금융의 글로벌화 또는 국제화란 여러 가지의 의미로 사용되나, 일반적으로 다음과 같은 뜻으로 사용된다. 첫째, 금융기관이 외국환 및 국제금융업무를 보다 많이 취급하는 것을 의미하며, 둘째, 국내외 금융기관이 상호진출을 많이 하는 것을 의미하며, 셋째, 국내금융시장이 국제금융시장과 관련이 많아지는 것을 의미하고, 넷째, 국내통화가 국제통화가 되어 그 사용범위가 넓어지는 것을 의미하며, 다섯째, 국내시장이 개방되는 것을 의미한다. "
금융글로벌화 (globalization of banking),"금융의 글로벌화는 금융국제화가 마지막 단계로 이행되는 것을 가리키며 이러한 단계의 금융을 global banking 또는 world banking이라고 한다. 금융기관이 세계 주요 금융시장에서 금융활동을 하게 되며 기존의 국제금융 외에 투자금융, 리스와 컨설팅 등을 많이 취급하게 된다. "
금융기관,"타 부문(가계, 기업, 정부 등)을 위하여 금융자산을 창조하고 타부문의 부채를 인수하는 것을 주요업무로 하는 경제단위를 말한다. 금융기관은 취급하는 금융상품의 특성에 따라 통화당국, 유사은행기관, 비은행금융기관 등으로 분류하고 있으며 통화당국과 예금은행(일반은행, 특수은행으로 구분)을 합하여 통화금융기관이라 하고 나머지 기관을 비통화금융기관(개발기관, 투자기관, 저축기관, 보험기관으로 구분)이라 한다"
금융기관 가중평균금리,"한국은행이 1996년부터 매월 편제하여 발표하는 통계치로, 금융기관에서 취급하는 금융상품의 금리를 금액비중으로 가중치를 두어 평균한 금리"
금융기관 부실자산 정리,한국자산관리공사가 금융기관으로부터 인수하거나 수탁받은 부실채권과 비업무용자산 등 부실자산의 정리업무와 이와 관련한 채무관계자에 대한 재산조사 업무수행을 말한다. 
금융기관유동성(Lf),"경제 내에 유통되는 화폐규모를 측정하는 유동성지표의 하나로서, 화폐의 지급결제기능과 가치저장기능을 중시하여 작성하는 광의통화(M2)와 예금취급기관의 만기 2년 이상 금융상품 및 비예금취급기관 발행 금융상품(Non-MMF의 수익증권, 연금기금의 퇴직연금준비금, 생명보험회사의 보험계약준비금, 증권금융회사의 예수금) 등 통화성이 상대적으로 낮은 금융상품까지 포함"
금융기관의 당기순이익,영업활동에서 얻는 총이익에서 각종 충당금과 법인세를 공제해서 산출되는 것으로 부실채권에 따른 대손상각액이 적을수록 커지게 된다. 은행들은 고객의 예금을 대출 등에 운용한다. 
금융법인,"금융법인부문은 금융중개 또는 보조적 금융활동에 종사하는 모든 거주자 금융법인기업으로 중앙은행, 예금취급기관, 기타금융중개기관, 금융보조기관, 보험회사 및 연금기금 등으로 분류된다. 예금취급기관은 금융중개활동을 주활동으로 하며 예금 및 유사 금융상품을 부채로 부담하는 중앙은행 이외의 모든 거주자 금융법인기업으로 구성된다. 기타금융중개기관은 금융중개활동을 주활동으로 하는 거주자 법인 중 금융시장에서 예금 이외의 형태 즉 채권이나 주식발행 등으로 자금을 조달하여 금융자산을 취득하는 금융기업을 말한다. 금융보조기관은 금융중개활동은 아니나 금융중개와 밀접한 관련이 있는 활동을 주활동으로 하는 거주자 법인으로서 신용보증기관, 자금중개회사, 감독기관, 증권거래소, 금융결제원 등이 이에 해당된다"
금융부채,통상 한 경제주체(채권자)가 다른 경제주체(채무자)에게 제공한 경제적 가치에 대응하여 발생하는 것으로 특정 상황 하에서 채무자가 채권자에게 자금이나 여타 자원을 공급할 의무
금융비용,기업이 사업을 목적으로 은행 등 금융기관 및 개인으로부터 조달한 차입금에 대해 지급하는 이자부담을 비용 개념으로 파악하는 것으로 여기에는 제도권 금융기관으로부터의 대출과 이에 따른 이자지급은 물론 사채이자도 포함된다. 
금융비용 대 매출액,매출액중 금융비용이 차지하는 비중을 나타내는데 이 비율은 기업이 부담하고 있는 금융비용의 수준을 나타내고 있는 대표적인 지표로서 금융비용부담률이라고도 한다. 금융비용은 조업도와 관계없이 차입금에 대한 대가로서 지급되는 고정비 성격의 항목이므로 기업경영의 장기적 안정성을 확보하기 위해서는 이 비율을 낮추는 것이 중요하다.
금융비용 대 부채,"기업의 부채에는 차입금과 같이 이자를 부담하는 이자부부채와 매입채무, 선수금, 충당금 등과 같이 이자를 부담하지 않는 비이자부부채가 있다. 금융비용 대 부채 비율은 이러한 비이자부부채를 포함한 총부채에 대한 금융비융의 비율을 말한다. 여기서 금융비용이란 이자비용(어음할인료 포함)을 말한다."
금융비용 대 총비용,총비용중 금융비용이 차지하는 비중을 나타내는 것으로서 차입금의존도와 밀접한 관계가 있다. 금융비용 대 총비용 = 이자비용 / (매출원가 + 판매비와 관리비 + 영업외비용 + 특별손실)
금융비용부담률 (金融費用負擔率),"금융비용부담률은 부도 및 법정관리신청 기업을 피해 투자하기 위한 필수적인 고려 항목이다. 한 기업의 금융비용을 총매출액으로 나눈 수치가 금융비용 부담률이다. 하지만 몇 % 이상이 좋다든지 나쁘다든지 하는 절대비교 수치는 없다. 동업종의 여러 회사와 비교해서 특별히 높은 경우 위험수위에 달했다고 볼 수 있다. 금융비용부담률은 특히 최근 몇 년간의 추세를 살펴보아야 하며, 전기에 비해 특별히 많이 증가했다면 회사 사정이 그 만큼 어려워졌다고 볼 수 있다. "
금융상품별 회전율,"금융상품별 회전율은 일정기간 중 각 금융상품의 평균잔액에 대한 총지급누계액의 비율로서 각 금융상품의 유동성수준을 비교할 수 있는 지표이다. 예금회전율, 특히 요구불예금 회전율은 시중자금사정을 나타내는 지표의 하나로도 사용되고 있는데 자금사정이 악화되면 동 지표가 상승하는 것으로 알려져 있다. 다만 시중자금지표로서의 예금회전율은 한계가 있다. 즉 예금회전율의 예금지급액은 유량(flow) 변수인 반면 분모인 예금평균잔액은 저량(stock) 변수이므로 예금회전율은 시중 자금사정과는 무관하게 해당 월 영업일수의 과다에 따라 크게 변동할 수 있다.

※ 예금회전율(월중) = 월중 예수금지급액 ÷ 월중 예수금평균잔액

· 월중예수금지급액 : 해당월중 예수금지급액의 누계, 매일의 예수금지급액 (인출액)을 모두 합계한 것으로 유량(flow) 개념이다.
· 월중예수금평균잔액 : 해당월중의 예수금의 평균 잔액, 매일 마감시의 예금잔액을 더하여 해당월의 일수로 나눈다.(공휴일의경우는 전 영업일 잔액을 그대로 사용)"
금융소득종합과세 (金融所得綜合課稅),"부부합산 금융소득(이자 및 배당 소득)이 연 4천만원을 초과하는 경우 개인누진소득세율로 종합과세 하는 것을 말한다. 금융소득이 4천만원 이하인 경우는 원천과세로 납세의무가 종결되며, 이자소득세율은 종전의 20%에서 15%로 인하되었다. 금융소득이 4천만원을 초과할 경우 초과금액에 대해서는 근로소득, 사업소득, 부동산임대소득 등 다른 종합소득과 합산해 10～40%의 누진세율로 종합과세 한다. 과세의 대상은 비과세소득과 분리과세대상 금융소득을 제외한 나머지 금융소득이다. 사채이자, 상장사 및 장외등록 법인의 대주주가 받는 배당소득, 비상장사의 주주가 받는 배당소득, 국외에서 받는 이자의 배당소득 등에 대해서는 금융소득이 4천만원 이하이더라도 다른 소득과 합산해 종합 과세한다. 1993년 8월에 도입된 금융실명제를 기반으로 1996년 1월부터 시행되었으나, 실제 과세는 1996년 귀속 이자소득분에 대해 1997년부터 이루어졌다. 1997년말 IMF 경제위기로 인해 유보되어 오다 2001년 1월부터 재시행 되고 있다. "
금융의 하부구조 (financial infrastructure),"금융의 하부구조란 지급결제제도, 신용평가제도, 증권시장, 선물시장 등과 같이 금융거래가 원할 하게 이루어질 수 있도록 지원하는 각종 제도적 장치를 말한다. 이는 도로, 항만시설 등과 같이 실물경제에 있어 생산에 직접 기여하지는 않으나 생산활동에 없어서는 안 되는 사회간접자본에 비유할 수 있다. 금융하부구조가 선진화되면 금융거래가 투명해지고 금융기관이 각종 위험을 회피할 수 있을 뿐만 아니라, 금융중개비용을 절감할 수 있게 됨으로써 금융의 효율성이 증진되는 효과가 있다. "
금융자산,소유권을 행사할 수 있고 소유자가 일정기간 보유하거나 사용함으로써 재산소득을 창출하거나 가치를 저장하는 수단이 되며 다른 경제주체에 대한 대응부채를 갖는 자산
금융자산 vs 실물자산,"금융이란 자금이 부족한 사람과 자금의 여유가 있는 사람간에 자금을 주고 받는 거래를 의미하며 자금을 빌려주는 사람과 빌리는 사람간에는 채권-채무관계가 성립한다. 이러한 금융거래에서는 보통의 경우 금전과 유가증권(예금증서, 주식, 채권 등)이 교환된다. 자금을 빌려주는 사람의 입장에서 볼 때 유가증권은 상대방에게 금전적 보상을 청구할 수 있는 금융상의 권리가 된다. 이러한 금융상의 권리를 금융자산이라고 한다.

특히 만기 1년 미만의 금융자산이 거래되는 시장을 화폐시장(money market)이라 하고 대표적인 금융자산으로는 단기국공채, 양도성 예금증서, 콜자금, 기업어음 등이 있다. 반면에 만기가 1년을 넘는 금융자산이 거래되는 시장을 자본시장(capital market)이라 하며 대표적인 금융자산으로는 주식, 국채, 회사채, 통화안정증권 등이 있다.

한편 실물자산이란 부동산, 금, 골동품, 기념우표처럼 유형의 형체가 있는 자산을 의미한다. 실물자산과 금융자산의 구분이 중요한 이유중 하나는 이들 자산의 가치가 인플레이션에 반응하는 양상이 다르기 때문이다. 금융자산은 그 가치가 화폐액으로 일정하게 고정된 경우가 대부분이다. 따라서 인플레이션으로 화폐가치가 떨어지면 금융자산의 가치는 하락하게 된다. 반면에 실물자산의 가치는 유동적으로 변할 수 있어서 인플레이션 발생으로 화폐가치가 떨어지면 실물자산의 가치는 하락한 화폐가치만큼 상승하게 된다"
금융자산부채잔액표,"금융자산부채잔액표는 자금순환통계상의 스톡 통계에 해당하며, 일정시점에 존재하는 제도부문별 금융자산 및 금융부채의 보유잔액을 기록한 표이다. 금융자산부채잔액표는 금융연관비율의 산출, 금융자산의 구성변화추이 등 금융구조의 분석에 있어서 중요한 의미를 지니며, 실제 추계과정에 있어서도 금융상품별 잔액을 추계한 후에 거래금액이 계산되기 때문에 금융거래표와 함께 작성?발표되고 있다. 금융상품별로 금과 SDRs, 통화와 예금, 보험 및 연금, 채권, 대출금, 정부융자, 주식 및 출자지분, 파생금융상품, 상거래신용, 외환보유액, 직접투자, 콜론 및 콜머니, 기타대외채권?채무, 기타금융자산?부채 등으로 분류되며 제도부문별 금융자산의 보유액은 자산란에, 금융부채의 잔액은 부채란에 각각 기록된다"
"금융자유화 (金融自由化, liberalization of banking)","금융자유화는 자금의 조달과 운용에 제한을 거의 받지않고 취급하는 것을 말한다. 따라서 조달에 따른 저축금리를 자유롭게 정하게 된다. 또한 은행의 업무영역이 확대되는 것을 의미하는데, 겸업주의은행(universal banking)이 되는 것을 가리킨다. 아울러 국제분야에 있어 무역/외환/자본과 용역에 관한 업무를 보다 더 자유롭게 취급하는 것을 말한다. 그러므로 금융자유화는 무역과 외환의 자유화, 자본의 자유화와 용역의 자유화를 전제로 한다. "
금융정보망,"금융기간의 컴퓨터를 연결하여 금융업무를 전자적으로 처리하는 네트워크 시스템을 금융정보망이라 한다. 금융정보망은 망구축 범위와 이용주체를 기준으로 1) 개별금융기관이 자체 업무를 처리하기 위하여 구축 운영하는 자체전산망, 2) 개별금융기관과 고객간의 업무를 처리하기 위하여 구축 운영하는 대고객 전산망, 3) 금융기관간의 공동업무를 처리하기 위하여 구축 운영하는 공동전산망 등으로 구분할 수 있으나, 이들 각 망은 상호 연결되어 포괄적인 네트워크 시스템으로 운영되기 때문에 이들 망 전체를 하나의 금융정보망으로 부르기도 한다. "
"금융제도 (金融制度, financial system)","금융은 경제주체간에 이루어지는 자금의 융통을 말하며, 금융제도란 금융거래에 관한 일체의 체계와 규범을 총칭하는 것으로서 구체적으로는 금융기관, 금융수단 및 금융시장 등에 관한 총체적인 체계와 규범을 의미한다. 금융제도는 다른 모든 제도가 그러하듯 나라마다 정치, 경제, 문화 등의 역사적 배경에 따라 각기 상이한 모습을 갖게 된다. "
"금융증권화 (金融證券化, securitization of banking)","금융의 증권화란 금융기관이 자금의 조달과 운용에서 종래보다 증권을 이용한 자금조달 및 운용이 확대되는 것으로 금융시장의 금융중개방식이 직접금융화 되거나 대출채권이 금융시장에서 증권화되는 현상으로 나타난다. 즉, 금융시장에서의 자금조달방식이 간접금융방식으로부터 주식/채권/기업어음 등 직접금융방식으로 전환되거나, 금융기관의 자금조달방식이 예금 등에서 CD/금융채 또는 수익증권, CMA 등 유가증권연계 금융상품으로 전환되고, 금융기관의 대출채권 또는 기업의 매출채권을 담보로 증권을 발행하는 것을 말한다. 이의 구체적인 사례를 열거하면 첫째, 국제금융시장에서 은행대출이 감소하고 증권발행이 증가하고 있으며, 둘째, 대형은행들이 자금조달과 운용에서 증권의 비중이 증대하고 있으며, 셋째, 채권의 유동화를 목적으로 대출채권을 담보로 하는 증권이 많이 발행되고 있음을 알 수 있다. "
"금융채권 (金融債券, financial bond)","일반 금융기관의 예금은 주로 단기융자를 위한 자금을 흡수하는 수단으로 통용되고 있는데 반해, 금융채의 발행은 특별법에 의해 설립된 금융기관이 장기융자를 위한 자금을 흡수할 목적으로 발행하는 채권을 말한다. 일반적으로 무기명채권으로 발행되는 것이 보통이다. 상환방법은 상환시기가 미리 정해져 있는 것, 매입상각에 의해 수시상환 되는 것, 혹은 추첨에 의해 기한 이전에 상환되는 것 등 여러 가지가 있다. 발행기관별 금융채권으로는 한국은행이 발행하는 통화안정증권, 산업은행이 발행하는 산업금융채권, 장기신용은행이 발행하는 장기신용채권, 중소기업은행이 발행하는 중소기업금융채권, 주택은행이 발행하는 주택채권, 외환은행이 발행하는 원화표시 외국환금융채권, 종합금융회사가 발행하는 종합금융채권, 투자금융회사가 발행하는 투자금융채권 그리고 증권금융회사가 발행하는 증권금융채권 등이 있다. "
금융통화위원회,"법정화폐(법률에 의해 강제력이 부여된 화폐) 제도를 운영하고 있는 대부분의 국가는 중앙은행을 설립하여 자국의 통화제도를 책임지고 운영하도록 위임하고 있다. 우리나라도 “한국은행법”에 의해 중앙은행인 한국은행을 설립하고 한국은행이 우리나라의 통화제도 운영 및 이와 관련된 통화정책을 책임지고 운영하도록 하고 있다.

그런데 통화제도 운영 및 통화정책과 관련된 결정은 국가경제 전반에 복잡한 영향을 미칠 수 있다. 예컨대 중앙은행이 콜금리를 인하하는 통화정책을 수행하여 금리가 하락하면 저축하고 있는 사람은 받아야 할 이자가 감소하여 손실을 보게 되지만 빚을 지고 있는 사람은 갚아야 할 이자가 감소하여 이득을 보게 된다. 이처럼 사람들의 경제적 이해관계가 복잡하게 얽혀 있는 상황에서 한국은행의 통화제도 운영 및 통화정책과 관련된 결정은 어느 한 편으로 치우치지 않고 국가경제 전체에 도움이 되는 방향으로 이루어져야 한다. 이와 같은 요구를 제도적으로 수용하기 위해 한국은행의 최고 의사결정기구로서 금융통화위원회가 설치되었다.(물론 외국의 경우도 중앙은행 내부에 우리와 유사한 통화정책 결정 기구가 별도로 설치되어 있다.) 금융통화위원회는 한국은행 총재 및 부총재, 국민경제 각 분야를 대표하는 5인 등 총 7인의 위원으로 구성된 합의체 의사결정기구이다. 따라서 금융통화위원회의 결정은 어느 개인에 의해 독단적으로 이루어지는 것이 아니라 각 분야를 대표하는 경제 전문가들의 합의에 의해 이루어지도록 되어있다.

금융통화위원회의 권한 및 운영과 관련한 구체적인 내용은 다음과 같다. 금융통화위원회는 통화신용정책을 수립하고 한국은행의 운영에 관한 중요사항을 결정하는 권한을 갖고 있다. 금융통화위원회는 매월 둘째주, 넷째주 목요일에 정기회의가 개최되며, 특히 둘째주 목요일에 개최되는 정기회의에서는 우리나라의 콜금리 목표를 결정하여 향후 통화정책 방향을 공표한다. 금융통화위원회 위원중 한국은행 총재는 국무회의의 심의를 거쳐 대통령이 임명하고 부총재는 총재의 추천에 의해 대통령이 임명하며 여타 5인의 위원은 각 추천기관(한국은행, 재정경제부, 금융감독위원회, 은행연합회, 대한상공회의소)의 추천을 받아 대통령이 임명한다"
"금융혁명 (金融革命, revolution of banking)???","금융의 자유화, 글로벌화 및 증권화 현상을 통틀어 일컫는 말이다. 자유금리상품의 확대, 일렉트로닉스화 등을 배경으로 대규모의 자금이동이 일어나 금융질서가 크게 변화하는 일이다. 1978년경부터 미국에서 시작되어 최근에는 전세계적으로 두드러지게 나타나고 있다. 구체적으로는 고금리를 배경으로 자유금리상품 즉, 시장금리연동형의 금융상품 예컨대 MMF, SSC, MMC의 비중이 높아가고 있는 일, 금융의 증권화 현상에 따라 투자금융이 활발하게 이루어 지는 일, 유통업이 증권회사를 매수하기도 하고 대은행이 중소저축은행을 흡수하는 등 금융판도가 변동하고 있는 일, 금융기관에 대한 규제가 완화/철폐되는 등의 형태로 나타나고 있다. "
금전신탁,"수탁자가 금전을 신탁재산으로 예탁받아 이를 대출, 채권 등 적절한 투자대상에 운영하여 얻은 이익을 수익자에게 금전 등의 형태로 되돌려 주는 제도를 금전신탁이라 한다. 신탁업법 시행령에서는 금전신탁은 운용방법에 따라 특정 금전신탁과 불특정 금전신탁으로 분류하고 있다. 불특정 금전신탁에는 위탁자가 신탁재산의 운용방법에 대하여 아무런 지시를 하지 않은 것이나, 신탁금의 운용방법에 대하여 법령이 엄격한 제한을 가하고 있다. 특정 금전신탁은 신탁재산의 운용방법이 어느 특정인에 대한 대부 또는 특정 종목의 유가증권 매입 등으로, 위탁자에 의하여 구체적으로 한정되어 있어서 수탁자의 재량의 여지가 거의 없다. "
급여,"판매와 관리부문에 종사하는 종업원에 대한 급료, 임금 및 상여와 3개월 이하의 단기간 고용하는 임시 종업원 및 일시적으로 고용하는 인부나 기술자에게 지급하는 잡급 및 정해진 지급기준에 따라 임원에게 지급되는 보수와 제급여 및 임원상여를 포함한다"
기간프리미엄,금융시장에서 장기금리가 단기금리보다 높은 관계에 있는 금리. 일반적으로 장기채권은 만기까지 인플레이션과 금리상승에 따른 가격하락 위험을 투자자가 안게 되므로 이에 대한 보상으로 금리가 단기채권보다 더 높은 수준에서 형성
기계장치,"기계장치는 일반기계와 「컨베이어」, 「호이스트」, 기중기 등의 운송설비 및 기타의 부속설비 등을 말하는데 취득원가에는 순송장가격에 운임, 운송보험료, 취득세, 설치비용, 시운전비용 등의 부대비용이 포함된다. 기계는 동력을 받아서 외부의 대상물에 작업을 가하는 설비의 단위를 의미하며 장치는 대상물을 내부에 수용하여 이것을 변질, 변형, 분해, 운동시키는 설비의 단위를 말한다"
기계투자효율,"설비투자효율의 보조지표로 기업이 보유하고 있는 기계장치가 어느 정도의 부가가치를 생산하였는가를 나타내는 지표이다. 기계투자효율에 기계장비율을 곱하면 종업원 1인당 부가가치가 되므로, 기계투자효율을 노동생산성의 변동요인을 분석하는 지표로 이용하기도 한다."
기금,"정부의 재정활동은 주로 일반회계, 특별회계 등 예산에 의하여 운용되고 있으나 특정한 분야의 사업에 대하여 지속적이고 안정적인 자금지원이 필요하거나 사업추진에 있어 탄력적인 집행이 필요한 경우에는 법률로써 기금을 설치·운영할 수 있다. 기금관리기본법은 기금관리주체 및 사업의 공공성 정도에 따라 기금을 공공기금과 기타기금으로 분류하고 있는데 99년 12월 현재 총 75개의 기금 중에서 공공기금은 남북협력기금 등 37개이며, 기타기금은 기술신용보증기금 등 38개에 달한다"
기대여명,어느 연령에 도달한 사람이 그 이후 몇 년 동안이나 생존할 수 있는가를 계산한 평균생존년수를 말한다. 특히 출생시 평균여명을 평균수명이라고도 일컫는다. 이는 사망과 밀접한 관계가 있으며 잔여평균수명을 예측하고 있는 지표이다
